assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
156737951,156737870,Leuciscus latus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,LEUCISCIDAE,Leuciscus,latus,,,,"(Keyserling, 1861)",Data Deficient,,3.1,Unknown,Global
156742842,166136,Pseudorasbora parva,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,GOBIONIDAE,Pseudorasbora,parva,,,,"(Temminck &amp; Schlegel, 1846)",Least Concern,,3.1,Unknown,Global
156752134,156752119,Schizothorax intermedius,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Schizothorax,intermedius,,,,"McClelland &amp; Griffith, 1842",Least Concern,,3.1,Stable,Global
169837859,169837826,Glyptosternon oschanini,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,SISORIDAE,Glyptosternon,oschanini,,,,"(Herzenstein, 1889)",Least Concern,,3.1,Stable,Global
169840136,169840127,Triplophysa uranoscopus,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,NEMACHEILIDAE,Triplophysa,uranoscopus,,,,"(Kessler, 1872)",Least Concern,,3.1,Stable,Global
174786567,166525,Schizothorax richardsonii,ANIMALIA,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Schizothorax,richardsonii,,,,"(Gray, 1832)",Vulnerable,A2acd+3cde+4acde,3.1,Decreasing,Global
125435470,125433585,Montagnea radiosa,FUNGI,BASIDIOMYCOTA,AGARICALES,AGARICOMYCETES,AGARICACEAE,Montagnea,radiosa,,,,(Pall.) Šebek,Least Concern,,3.1,Unknown,Global
4518109,153570,Bufotes turanensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Bufotes,turanensis,,,,"(Hemmer, Schmidtler &amp; Böhme, 1978)",Least Concern,,3.1,Stable,Global
9465637,2664,Afghanodon mustersi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,HYNOBIIDAE,Afghanodon,mustersi,,,,"(Smith, 1940)",Critically Endangered,B2ab(iii),3.1,Decreasing,Global
11193040,54721,Duttaphrynus olivaceus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Duttaphrynus,olivaceus,,,,"(Blanford, 1874)",Least Concern,,3.1,Stable,Global
