assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11037468,4615,Chelonia mydas,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,CHELONIIDAE,Chelonia,mydas,,,,"(Linnaeus, 1758)",Endangered,A2bd,3.1,Decreasing,Global
12473706,61408,Rostroraja alba,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Rostroraja,alba,,,,"(Lacepède, 1803)",Endangered,A2cd+4cd,3.1,Decreasing,Global
67808537,33038,Autranella congolensis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Autranella,congolensis,,,,(De Wild.) A.Chev.,Endangered,A3d,3.1,Decreasing,Global
92793729,22678896,Pternistis swierstrai,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Pternistis,swierstrai,,,,"(Roberts, 1929)",Endangered,"B2ab(i,ii,iii,v);C2a(i)",3.1,Decreasing,Global
93334893,22692046,Balearica regulorum,ANIMALIA,CHORDATA,GRUIFORMES,AVES,GRUIDAE,Balearica,regulorum,,,,"(Bennett, 1834)",Endangered,A2acd+4acd,3.1,Decreasing,Global
94137864,22707794,Prionops gabela,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VANGIDAE,Prionops,gabela,,,,"Rand, 1957",Endangered,"B1ab(i,ii,iii,v); C2a(i)",3.1,Decreasing,Global
94442922,22715162,Macrosphenus pulitzeri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MACROSPHENIDAE,Macrosphenus,pulitzeri,,,,"Boulton, 1931",Endangered,C2a(ii),3.1,Decreasing,Global
111057799,22709655,Sheppardia gabela,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Sheppardia,gabela,,,,"(Rand, 1957)",Endangered,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
111449412,111396094,Cola mayumbensis,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,MALVACEAE,Cola,mayumbensis,,,,Exell,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
112190005,103850963,Berlinia delevoyi,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Berlinia,delevoyi,,,,De Wild.,Endangered,B2ab(iii); C2a(i); D,3.1,Decreasing,Global
119152739,22726086,Lybius leucogaster,ANIMALIA,CHORDATA,PICIFORMES,AVES,LYBIIDAE,Lybius,leucogaster,,,,"(Bocage, 1877)",Endangered,C2a(ii),3.1,Decreasing,Global
123586469,12767,Phataginus tricuspis,ANIMALIA,CHORDATA,PHOLIDOTA,MAMMALIA,MANIDAE,Phataginus,tricuspis,,,,"(Rafinesque, 1821)",Endangered,A2c+4cd,3.1,Decreasing,Global
124405881,39358,Mustelus mustelus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,TRIAKIDAE,Mustelus,mustelus,,,,"(Linnaeus, 1758)",Endangered,A2bd,3.1,Decreasing,Global
124416090,41745,Centrophorus uyato,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,CENTROPHORIDAE,Centrophorus,uyato,,,,"(Rafinesque, 1810)",Endangered,A2bd,3.1,Decreasing,Global
124462573,63141,Oxynotus centrina,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,OXYNOTIDAE,Oxynotus,centrina,,,,"(Linnaeus, 1758)",Endangered,A2d,3.1,Decreasing,Global
124480497,161411,Torpedo mackayana,ANIMALIA,CHORDATA,TORPEDINIFORMES,CHONDRICHTHYES,TORPEDINIDAE,Torpedo,mackayana,,,,"Metzelaar, 1919",Endangered,A2d,3.1,Decreasing,Global
124507087,161562,Torpedo bauchotae,ANIMALIA,CHORDATA,TORPEDINIFORMES,CHONDRICHTHYES,TORPEDINIDAE,Torpedo,bauchotae,,,,"Cadenat, Capapé &amp; Desoutter, 1978",Endangered,A2d,3.1,Decreasing,Global
124531152,161707,Paragaleus pectoralis,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,HEMIGALEIDAE,Paragaleus,pectoralis,,,,"(Garman, 1906)",Endangered,A2bd,3.1,Decreasing,Global
129038584,15933,Pan troglodytes,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HOMINIDAE,Pan,troglodytes,,,,"(Blumenbach, 1799)",Endangered,A4bcde,3.1,Decreasing,Global
129456278,22691910,Neotis ludwigii,ANIMALIA,CHORDATA,OTIDIFORMES,AVES,OTIDIDAE,Neotis,ludwigii,,,,"(Rüppell, 1837)",Endangered,A4cd,3.1,Decreasing,Global
131073889,49217798,Pseudotolithus senegalensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,Pseudotolithus,senegalensis,,,,"(Valenciennes, 1833)",Endangered,A2bd,3.1,Decreasing,Global
132587992,22696668,Morus capensis,ANIMALIA,CHORDATA,SULIFORMES,AVES,SULIDAE,Morus,capensis,,,,"(Lichtenstein, 1823)",Endangered,A2acde+3cde+4acde,3.1,Decreasing,Global
132594943,22696806,Phalacrocorax capensis,ANIMALIA,CHORDATA,SULIFORMES,AVES,PHALACROCORACIDAE,Phalacrocorax,capensis,,,,"(Sparrman, 1789)",Endangered,A2bc+3bc+4bc,3.1,Decreasing,Global
132644834,22698398,Thalassarche chrysostoma,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,DIOMEDEIDAE,Thalassarche,chrysostoma,,,,"(Forster, 1785)",Endangered,A4bd,3.1,Decreasing,Global
132645225,22698425,Thalassarche chlororhynchos,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,DIOMEDEIDAE,Thalassarche,chlororhynchos,,,,"(Gmelin, 1789)",Endangered,A4bd; B2ab(v),3.1,Decreasing,Global
154428817,22724813,Psittacus erithacus,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Psittacus,erithacus,,,,"Linnaeus, 1758",Endangered,A2bcd+3bcd+4bcd,3.1,Decreasing,Global
157423361,22697810,Spheniscus demersus,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Spheniscus,demersus,,,,"(Linnaeus, 1758)",Endangered,A2ace+3bce+4ace,3.1,Decreasing,Global
162292852,162292832,Centrophorus lesliei,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,CENTROPHORIDAE,Centrophorus,lesliei,,,,"White, Ebert &amp; Naylor, 2017",Endangered,A2d,3.1,Decreasing,Global
166502262,12436,Lycaon pictus,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,CANIDAE,Lycaon,pictus,,,,"(Temminck, 1820)",Endangered,C2a(i),3.1,Decreasing,Global
172287822,22696116,Polemaetus bellicosus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Polemaetus,bellicosus,,,,"(Daudin, 1800)",Endangered,A2acde+3cde+4acde,3.1,Decreasing,Global
173647556,22696221,Sagittarius serpentarius,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,SAGITTARIIDAE,Sagittarius,serpentarius,,,,"(Miller, 1779)",Endangered,A2acde+3cde+4acde,3.1,Decreasing,Global
173885632,22707540,Laniarius amboimensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALACONOTIDAE,Laniarius,amboimensis,,,,"Moltoni, 1932",Endangered,C2a(i),3.1,Decreasing,Global
174020012,22707532,Laniarius brauni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MALACONOTIDAE,Laniarius,brauni,,,,"Bannerman, 1939",Endangered,B1ab(iii),3.1,Decreasing,Global
174413323,22695289,Terathopius ecaudatus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Terathopius,ecaudatus,,,,"(Daudin, 1800)",Endangered,A2acde+3cde+4acde,3.1,Decreasing,Global
180503121,180502386,Gymnura sereti,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,GYMNURIDAE,Gymnura,sereti,,,,"Yokota &amp; Carvalho, 2017",Endangered,A2d,3.1,Decreasing,Global
181759055,22679820,Oxyura maccoa,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Oxyura,maccoa,,,,"(Eyton, 1838)",Endangered,A2acde,3.1,Decreasing,Global
189949320,22697143,Ardeola idae,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,ARDEIDAE,Ardeola,idae,,,,"(Hartlaub, 1860)",Endangered,C2a(ii),3.1,Decreasing,Global
194720078,4292,Cetorhinus maximus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,CETORHINIDAE,Cetorhinus,maximus,,,,"(Gunnerus, 1765)",Endangered,A2bd,3.1,Decreasing,Global
201613657,42564343,Aetobatus narinari,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,AETOBATIDAE,Aetobatus,narinari,,,,"(Euphrasen, 1790)",Endangered,A2bd,3.1,Decreasing,Global
201785361,200691240,Millettia nudiflora,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Millettia,nudiflora,,,,Welw. ex Baker,Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global
204401095,181008073,Loxodonta africana,ANIMALIA,CHORDATA,PROBOSCIDEA,MAMMALIA,ELEPHANTIDAE,Loxodonta,africana,,,,"(Blumenbach, 1797)",Endangered,A2abd,3.1,Decreasing,Global
205187871,22695180,Neophron percnopterus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Neophron,percnopterus,,,,"(Linnaeus, 1758)",Endangered,A2abcde+3bcde+4abcde,3.1,Decreasing,Global
205352949,22695238,Torgos tracheliotos,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Torgos,tracheliotos,,,,"(Forster, 1791)",Endangered,A2abcd+3bcd+4abcd,3.1,Decreasing,Global
205452572,22696038,Aquila nipalensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,nipalensis,,,,"Hodgson, 1833",Endangered,A2abcd+3bcd+4abcd,3.1,Decreasing,Global
214381504,110847130,Mobula mobular,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MOBULIDAE,Mobula,mobular,,,,"(Bonnaterre, 1788)",Endangered,A2bd+3d,3.1,Decreasing,Global
214397182,198921,Mobula birostris,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MOBULIDAE,Mobula,birostris,,,,"(Walbaum, 1792)",Endangered,A2bcd+3d,3.1,Decreasing,Global
214399766,126710128,Mobula hypostoma,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MOBULIDAE,Mobula,hypostoma,,,,"(Bancroft, 1831)",Endangered,A2cd+3d,3.1,Decreasing,Global
718871,154708,Diplodus cervinus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SPARIDAE,Diplodus,cervinus,,,,"Lowe, 1838",Least Concern,,3.1,Decreasing,Global
1387207,173489,Diospyros canaliculata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,canaliculata,,,,De Wild.,Least Concern,,3.1,Decreasing,Global
1390912,173579,Diospyros polystemon,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,polystemon,,,,Gürke,Least Concern,,3.1,Decreasing,Global
1404846,173926,Euclea crispa,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Euclea,crispa,,,,(Thunb.) Gürke,Least Concern,,3.1,Decreasing,Global
2931769,39734,Crotalaria bamendae,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Crotalaria,bamendae,,,,Hepper,Least Concern,,3.1,Decreasing,Global
3067855,45331440,Amietia angolensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PYXICEPHALIDAE,Amietia,angolensis,,,,"(Bocage, 1866)",Least Concern,,3.1,Decreasing,Global
3070700,58535,Pyxicephalus adspersus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PYXICEPHALIDAE,Pyxicephalus,adspersus,,,,"Tschudi, 1838",Least Concern,,3.1,Decreasing,Global
3114683,62381,Ilex mitis,PLANTAE,TRACHEOPHYTA,AQUIFOLIALES,MAGNOLIOPSIDA,AQUIFOLIACEAE,Ilex,mitis,,,,(L.) Radlk.,Least Concern,,3.1,Decreasing,Global
7609219,178798,Laguncularia racemosa,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,COMBRETACEAE,Laguncularia,racemosa,,,,(L.) C.F.Gaertn,Least Concern,,3.1,Decreasing,Global
7612125,178806,Conocarpus erectus,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,COMBRETACEAE,Conocarpus,erectus,,,,L.,Least Concern,,3.1,Decreasing,Global
7613866,178811,Avicennia germinans,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,ACANTHACEAE,Avicennia,germinans,,,,(L.) L.,Least Concern,,3.1,Decreasing,Global
7616373,178819,Rhizophora racemosa,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,RHIZOPHORACEAE,Rhizophora,racemosa,,,,G.Mey.,Least Concern,,3.1,Decreasing,Global
8395525,185359,Pycreus pauper,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Pycreus,pauper,,,,(Hochst. ex A.Rich.) C.B.Clarke,Least Concern,,3.1,Decreasing,Global & Pan-Africa
11439867,56280,Leptopelis rufus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ARTHROLEPTIDAE,Leptopelis,rufus,,,,"Reichenow, 1874",Least Concern,,3.1,Decreasing,Global
13265907,13265900,Naja melanoleuca,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,ELAPIDAE,Naja,melanoleuca,,,,"Hallowell, 1857",Least Concern,,3.1,Decreasing,Global
13300564,13300560,Python natalensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,PYTHONIDAE,Python,natalensis,,,,"A. Smith, 1840",Least Concern,,3.1,Decreasing,Global
15546291,198568,Engraulis encrasicolus,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,ENGRAULIDAE,Engraulis,encrasicolus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
16222887,16222565,Angraecum distichum,PLANTAE,TRACHEOPHYTA,ASPARAGALES,LILIOPSIDA,ORCHIDACEAE,Angraecum,distichum,,,,Lindl.,Least Concern,,3.1,Decreasing,Global
16957715,59557,Geotrypetes seraphini,ANIMALIA,CHORDATA,GYMNOPHIONA,AMPHIBIA,DERMOPHIIDAE,Geotrypetes,seraphini,,,,"(Duméril, 1859)",Least Concern,,3.1,Decreasing,Global
16958011,59565,Herpele squalostoma,ANIMALIA,CHORDATA,GYMNOPHIONA,AMPHIBIA,HERPELIDAE,Herpele,squalostoma,,,,"(Stuchbury, 1836)",Least Concern,,3.1,Decreasing,Global
17324218,176277,Atractaspis irregularis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,ATRACTASPIDIDAE,Atractaspis,irregularis,,,,"(Reinhardt, 1843)",Least Concern,,3.1,Decreasing,Global
17947340,4212,Cercopithecus ascanius,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Cercopithecus,ascanius,,,,"(Audebert, 1799)",Least Concern,,3.1,Decreasing,Global
18360880,54442,Scotobleps gabonicus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ARTHROLEPTIDAE,Scotobleps,gabonicus,,,,"Boulenger, 1900",Least Concern,,3.1,Decreasing,Global
18361006,54443,Trichobatrachus robustus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ARTHROLEPTIDAE,Trichobatrachus,robustus,,,,"Boulenger, 1900",Least Concern,,3.1,Decreasing,Global
18362827,76500250,Cardioglossa leucomystax,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ARTHROLEPTIDAE,Cardioglossa,leucomystax,,,,"(Boulenger, 1903)",Least Concern,,3.1,Decreasing,Global
18373147,54688,Sclerophrys latifrons,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Sclerophrys,latifrons,,,,"(Boulenger, 1900)",Least Concern,,3.1,Decreasing,Global
18389761,56273,Leptopelis aubryioides,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ARTHROLEPTIDAE,Leptopelis,aubryioides,,,,"(Andersson, 1907)",Least Concern,,3.1,Decreasing,Global
18390907,58252,Conraua crassipes,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CONRAUIDAE,Conraua,crassipes,,,,"(Buchholz &amp; Peters in Peters, 1875)",Least Concern,,3.1,Decreasing,Global
18398710,58489,Ptychadena aequiplicata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PTYCHADENIDAE,Ptychadena,aequiplicata,,,,"(Werner, 1898)",Least Concern,,3.1,Decreasing,Global
21282806,6409,Dendrohyrax arboreus,ANIMALIA,CHORDATA,HYRACOIDEA,MAMMALIA,PROCAVIIDAE,Dendrohyrax,arboreus,,,,"(A. Smith, 1827)",Least Concern,,3.1,Decreasing,Global
